Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.01.04.01,684,307,226,213,546,0,0,1942,2268,7030,8266,1679
2020.01.04.02,683,307,227,213,732,0,0,2127,2267,6427,8055,1427
2020.01.04.03,681,301,227,214,652,0,0,2041,2268,5800,8239,1416
2020.01.04.04,681,308,227,214,605,0,0,1997,2269,5611,8239,1417
2020.01.04.05,683,309,227,215,698,0,0,2094,2270,5530,8288,1546
2020.01.04.06,683,312,228,226,900,0,0,2311,2271,5554,8301,1902
2020.01.04.07,683,323,227,236,1359,0,0,2800,2271,5489,8930,1864
2020.01.04.08,684,330,220,237,1497,1379,0,4346,2272,5086,8457,1672
2020.01.04.09,685,325,214,211,1516,5047,134,8132,2272,3559,6331,1402
2020.01.04.10,683,310,226,201,1543,7105,308,10376,2272,2773,4380,1145
2020.01.04.11,681,306,227,198,1446,7439,225,10522,2272,2879,3824,977
2020.01.04.12,679,307,227,194,1511,7375,236,10530,2272,2727,3430,934
2020.01.04.13,679,306,227,193,1789,7061,211,10467,2271,2727,3423,774
2020.01.04.14,679,305,227,191,1999,7015,192,10609,2271,2995,3577,634
2020.01.04.15,678,307,227,207,2096,6227,137,9879,2272,3092,4371,855
2020.01.04.16,678,307,226,228,1988,4107,58,7592,2271,4662,5480,1230
2020.01.04.17,681,310,226,255,2167,604,0,4243,2272,5860,8008,2405
2020.01.04.18,682,314,226,300,2299,0,0,3797,2272,6417,9670,3073
2020.01.04.19,683,313,226,295,2283,0,0,3778,2271,6609,9734,3210
2020.01.04.20,684,309,227,297,2240,0,0,3735,2272,6653,9827,2662
2020.01.04.21,685,308,227,298,2001,0,0,3495,2272,7216,9277,2553
2020.01.04.22,685,302,226,283,1724,0,0,3193,2272,7367,9148,2156
2020.01.04.23,686,296,226,219,1373,0,0,2764,2272,7326,8562,2007
2020.01.04.24,686,288,227,206,1412,0,0,2783,2273,6533,8379,1713
