Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.08.12.01,964,365,234,453,2955,0,0,4971,2273,6253,7021,3457
2019.08.12.02,966,376,236,450,2917,0,0,4945,2272,5686,6442,3428
2019.08.12.03,967,395,235,451,2615,0,0,3696,2273,6682,6134,3219
2019.08.12.04,968,404,236,450,2369,0,0,4427,2273,5660,6015,3278
2019.08.12.05,969,406,235,450,1936,0,0,3996,2273,5939,6347,3466
2019.08.12.06,970,404,235,480,1823,0,0,3912,2273,6279,7167,3698
2019.08.12.07,969,405,229,486,1396,530,0,4015,2271,6252,8733,3718
2019.08.12.08,968,403,227,471,1091,4263,187,7610,2271,5645,7380,3380
2019.08.12.09,962,408,226,449,740,8173,431,11389,2272,4863,5721,2912
2019.08.12.10,957,401,224,434,451,9609,492,12568,2273,4727,5191,2934
2019.08.12.11,953,409,227,480,303,10250,509,13131,2272,4975,4745,3132
2019.08.12.12,953,405,227,484,274,10522,515,13380,2271,5691,4756,3208
2019.08.12.13,954,380,228,485,260,10573,536,13416,2271,6586,5077,3307
2019.08.12.14,952,400,232,481,245,10569,542,13421,2271,7717,5294,3795
2019.08.12.15,953,407,233,505,298,10465,540,13401,2271,9109,5709,3837
2019.08.12.16,953,405,233,529,318,10115,522,13075,2272,10440,6417,3869
2019.08.12.17,955,411,232,541,457,9380,490,12466,2273,12228,6305,4090
2019.08.12.18,953,402,234,553,883,7694,437,11156,2269,13406,6775,4714
2019.08.12.19,955,395,234,593,1622,3754,250,7803,2266,14793,8155,5123
2019.08.12.20,957,396,234,592,2130,447,7,4763,2267,15217,9349,5413
2019.08.12.21,959,384,234,567,2488,4,0,4636,2266,14807,9358,4948
2019.08.12.22,961,368,234,534,2500,0,0,4597,2265,13662,8660,4705
2019.08.12.23,960,352,234,516,2299,0,0,4361,2268,11828,8033,4222
2019.08.12.24,961,340,233,458,1985,0,0,3977,2267,10277,7586,3728
