Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.10.13.01,1019,279,216,191,272,0,0,1981,1126,10448,8563,1371
2020.10.13.02,1024,280,217,181,192,0,0,1896,1125,9304,8907,1153
2020.10.13.03,1027,280,217,163,167,0,0,1854,1125,8736,8728,1163
2020.10.13.04,1028,281,217,143,141,0,0,1808,1125,8488,8623,1170
2020.10.13.05,1029,282,215,142,114,0,0,1780,1125,8642,8663,1186
2020.10.13.06,1028,292,213,182,78,0,0,1786,1126,9195,8875,1368
2020.10.13.07,1029,307,197,198,63,6,0,1794,1126,9881,9262,1936
2020.10.13.08,1023,308,195,199,28,1596,25,3187,1126,9997,8837,1790
2020.10.13.09,1013,309,194,181,0,6252,243,7938,1125,9078,6439,1113
2020.10.13.10,1018,307,194,155,0,8580,341,10528,1126,8371,5005,1011
2020.10.13.11,1014,307,194,164,0,9314,367,11331,1126,8313,4570,1147
2020.10.13.12,1007,305,192,167,11,9631,371,11666,1126,8591,5282,1071
2020.10.13.13,998,304,192,163,19,9673,365,11723,1124,9695,5836,1089
2020.10.13.14,995,304,191,167,94,9772,359,11861,1124,11052,6278,1255
2020.10.13.15,995,304,194,189,496,9713,353,12223,1124,12769,6150,1475
2020.10.13.16,994,304,196,221,1080,9250,318,12387,1123,13756,6630,2116
2020.10.13.17,993,305,198,231,1330,7323,244,10798,1124,14652,7339,2480
2020.10.13.18,969,300,200,236,1363,2505,71,5890,1125,19006,8017,2609
2020.10.13.19,974,302,202,255,1714,81,0,3537,1125,19734,8361,2889
2020.10.13.20,971,303,203,220,1761,0,0,3459,1125,17608,9095,3127
2020.10.13.21,999,302,204,213,1796,0,0,3511,1125,15220,9387,3061
2020.10.13.22,1009,303,202,212,1591,0,0,3301,1126,13893,9340,2565
2020.10.13.23,1011,289,203,201,1437,0,0,3104,1125,12490,9338,1711
2020.10.13.24,1013,281,203,184,1228,0,0,2893,1125,10818,9195,1424
