Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2021.05.24.01,888,316,215,239,3255,0,0,4903,2279,4458,7926,1234
2021.05.24.02,891,315,215,240,3286,0,0,4930,2279,4058,7691,1120
2021.05.24.03,888,314,215,237,3051,0,0,4699,2279,4146,7373,1095
2021.05.24.04,889,314,216,237,2980,0,0,4624,2279,4139,7344,1102
2021.05.24.05,890,315,215,238,2931,0,0,4590,2279,4414,7463,1171
2021.05.24.06,892,318,215,233,2335,25,0,4043,2280,5027,8025,1571
2021.05.24.07,892,322,209,227,1662,2352,74,5526,2281,5039,7772,1405
2021.05.24.08,889,325,208,227,1321,7338,267,10374,2281,3267,5881,1257
2021.05.24.09,892,323,208,226,1159,9987,351,13088,2281,2798,3883,1018
2021.05.24.10,887,314,210,224,963,10350,365,13320,2282,2651,3393,925
2021.05.24.11,883,313,212,222,1060,10549,379,13578,2283,3084,3309,429
2021.05.24.12,879,310,212,224,989,11583,381,14543,2282,3072,2697,271
2021.05.24.13,868,309,215,223,769,11890,381,14641,2282,2817,2563,646
2021.05.24.14,876,316,217,221,714,12217,381,14944,2282,2882,2763,843
2021.05.24.15,874,317,217,220,893,12234,382,15122,2281,3049,2665,1135
2021.05.24.16,870,315,219,219,1178,11998,375,15189,2282,4010,2672,1290
2021.05.24.17,869,327,219,218,1598,11291,354,14889,2282,4760,3564,1445
2021.05.24.18,870,328,219,216,2326,9758,306,14127,2282,5585,4915,1690
2021.05.24.19,870,330,219,226,3045,5474,184,10586,2281,7287,7166,2349
2021.05.24.20,872,330,220,236,3621,905,17,6325,2283,9531,8591,3241
2021.05.24.21,876,331,220,240,3786,0,0,5449,2283,9906,9288,3044
2021.05.24.22,880,333,219,227,3943,0,0,5579,2282,8885,9488,2653
2021.05.24.23,882,324,217,227,4237,0,0,5880,2281,7543,8640,2319
2021.05.24.24,879,324,217,228,4148,0,0,5802,2281,6134,8674,1769
