Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.04.17.01,948,284,202,448,3425,0,0,5307,2286,2891,6434,4199
2019.04.17.02,948,286,202,448,3414,0,0,5298,2285,2685,6039,4184
2019.04.17.03,947,287,202,447,2910,0,0,3846,2285,3653,6036,4170
2019.04.17.04,947,289,203,449,3065,0,0,4953,2286,2470,5916,4169
2019.04.17.05,947,289,199,449,3068,0,0,4952,2285,2627,6130,4305
2019.04.17.06,948,289,202,448,3031,0,0,4918,2286,2861,7371,4279
2019.04.17.07,948,286,201,449,2317,351,0,4552,2286,3458,8931,4344
2019.04.17.08,938,284,192,449,1666,3996,0,7525,2285,2890,7458,4185
2019.04.17.09,932,288,190,446,1142,8287,40,11325,2285,2181,4446,3642
2019.04.17.10,930,281,191,459,824,9882,148,12715,2286,1913,2874,3590
2019.04.17.11,928,283,190,463,744,10357,264,13229,2284,1615,2324,3263
2019.04.17.12,925,277,190,444,773,10458,439,13506,2284,1640,1844,3087
2019.04.17.13,924,278,190,424,583,10530,513,13442,2284,1951,1759,3074
2019.04.17.14,922,277,198,428,476,10682,511,13494,2284,2166,1851,3049
2019.04.17.15,910,273,203,427,518,10652,426,13409,2283,2292,1951,3234
2019.04.17.16,872,277,196,464,424,10107,491,12831,2284,2583,2456,3441
2019.04.17.17,871,284,192,473,581,9261,504,12166,2285,3100,3458,3389
2019.04.17.18,873,282,192,474,597,7219,445,10082,2284,3808,5102,3676
2019.04.17.19,874,285,201,485,945,2827,185,5802,2282,6009,7544,4272
2019.04.17.20,880,288,213,582,1205,126,0,3294,2282,8169,8880,4545
2019.04.17.21,891,288,216,580,1795,0,0,3770,2285,7926,9063,4492
2019.04.17.22,900,289,215,572,2113,0,0,4089,2285,6732,8841,4468
2019.04.17.23,889,289,215,475,1493,0,0,3361,2285,5114,9503,4375
2019.04.17.24,889,287,215,475,1277,0,0,3143,2286,4646,8579,4240
