Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.12.09.01,730,324,215,257,2661,0,0,4150,914,7651,6745,1346
2019.12.09.02,730,328,215,215,2945,0,0,4395,795,7148,6570,1249
2019.12.09.03,730,331,216,215,3033,0,0,4486,677,7220,6473,971
2019.12.09.04,729,331,213,216,3008,0,0,4458,553,7374,6369,1106
2019.12.09.05,730,333,212,222,2350,0,0,3808,477,8055,6784,1433
2019.12.09.06,730,336,211,248,1484,0,0,2971,475,8932,7572,2074
2019.12.09.07,730,339,214,283,1170,2,0,2738,476,9915,9059,2384
2019.12.09.08,731,313,214,278,1399,1633,0,4569,475,10318,8252,2181
2019.12.09.09,733,334,210,262,863,4456,0,6858,476,9709,4115,1788
2019.12.09.10,731,338,212,257,818,5129,97,7581,477,9168,6235,1461
2019.12.09.11,724,344,216,248,998,5406,314,8250,476,8862,5555,1089
2019.12.09.12,731,354,213,254,910,5866,392,8719,476,8804,4815,986
2019.12.09.13,731,358,213,239,965,5915,388,8809,476,8585,4675,1042
2019.12.09.14,731,358,213,244,1251,6021,363,9181,475,8761,4076,1134
2019.12.09.15,730,356,216,261,1304,5700,124,8691,475,9180,4296,1351
2019.12.09.16,730,348,216,264,1282,3272,28,6140,474,10404,6079,1796
2019.12.09.17,733,352,211,349,1169,320,0,3134,474,11818,8268,2888
2019.12.09.18,734,349,211,379,887,0,0,2528,474,13433,9202,3386
2019.12.09.19,733,351,210,366,571,0,0,2200,475,13556,9613,3338
2019.12.09.20,733,357,208,373,433,0,0,2074,475,13294,9690,3234
2019.12.09.21,734,358,204,327,305,0,0,1897,474,13181,9481,3000
2019.12.09.22,733,358,208,305,235,0,0,1808,473,12784,9171,2496
2019.12.09.23,734,347,210,306,239,0,0,1803,474,11797,8415,2237
2019.12.09.24,735,336,209,257,236,0,0,1742,473,10812,7796,1995
