Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.10.24.01,452,335,236,235,2127,0,0,3360,1135,9387,7066,1721
2019.10.24.02,451,334,236,236,2277,0,0,3509,1134,8338,7055,1667
2019.10.24.03,452,336,236,237,2387,0,0,3623,1134,7750,6907,1635
2019.10.24.04,449,337,237,237,2324,0,0,3559,1135,7499,6925,1587
2019.10.24.05,448,346,236,240,2249,0,0,3480,1136,7778,7026,1615
2019.10.24.06,454,354,236,240,2208,0,0,3449,1135,8323,7069,2357
2019.10.24.07,454,363,235,239,2173,0,0,3423,1136,9304,7942,2755
2019.10.24.08,454,380,234,238,2224,1031,12,4572,1137,9414,8000,2542
2019.10.24.09,453,380,235,235,2217,5286,212,9017,1137,7639,6268,1713
2019.10.24.10,452,377,236,216,2072,8452,362,12167,1136,6193,5236,1370
2019.10.24.11,451,375,237,215,2154,8901,343,12676,1136,6445,4934,1360
2019.10.24.12,454,381,235,207,2199,8625,320,12421,1135,6842,5278,1385
2019.10.24.13,459,379,234,207,2025,8796,293,12392,1135,7241,5712,1312
2019.10.24.14,459,385,233,225,1851,8630,323,12106,1134,8648,5764,1438
2019.10.24.15,459,385,234,243,1637,8869,381,12208,1134,9933,5767,1530
2019.10.24.16,459,378,235,251,1453,7887,392,11055,1135,11627,6129,2106
2019.10.24.17,460,389,235,225,1409,5914,303,8935,1135,14032,6678,2344
2019.10.24.18,460,393,236,220,1313,1551,60,4232,1136,16887,7919,3054
2019.10.24.19,462,395,235,251,1185,0,0,2523,1136,17689,8584,3089
2019.10.24.20,464,397,237,256,1053,0,0,2365,1136,17209,8373,3232
2019.10.24.21,465,395,222,253,917,0,0,2211,1135,15729,8781,3071
2019.10.24.22,465,378,221,254,974,0,0,2249,1134,14557,8546,2629
2019.10.24.23,465,350,228,246,952,0,0,2198,1133,13104,7840,2468
2019.10.24.24,446,340,236,243,916,0,0,2138,1132,11587,7576,2166
