Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.05.31.01,935,286,196,355,3192,0,0,4967,2264,3934,8247,2600
2020.05.31.02,937,287,197,353,3003,0,0,4751,2264,3536,8544,2136
2020.05.31.03,937,285,197,354,2956,0,0,4715,2263,3353,8443,1820
2020.05.31.04,938,286,197,357,3019,0,0,4774,2264,3326,8098,1689
2020.05.31.05,939,294,197,357,2664,0,0,4457,2265,3342,8078,1853
2020.05.31.06,939,303,198,356,2349,17,0,4164,2266,3360,8054,2098
2020.05.31.07,937,319,199,362,1888,1620,0,5160,2266,2879,7517,1675
2020.05.31.08,935,318,198,361,1666,4233,0,7566,2266,2590,5428,1321
2020.05.31.09,931,310,199,355,1313,6199,0,9149,2266,2764,3705,1118
2020.05.31.10,929,304,199,351,875,7365,156,10036,2266,2736,2719,1227
2020.05.31.11,925,298,198,320,666,8143,360,10765,2265,2751,2132,1239
2020.05.31.12,904,295,198,310,768,8790,374,11522,2265,2669,1664,1237
2020.05.31.13,890,272,198,309,1170,9205,226,12149,2266,2417,1401,1425
2020.05.31.14,885,268,198,309,1697,8935,282,12453,2266,2245,1884,1461
2020.05.31.15,871,269,198,310,2142,8450,28,12186,2266,2429,3001,1561
2020.05.31.16,854,275,197,356,1983,8213,21,11826,2264,2757,4397,1455
2020.05.31.17,855,293,195,362,2061,7191,84,10993,2265,3719,5193,1770
2020.05.31.18,866,292,185,360,2425,5899,0,9989,2266,4154,6420,2479
2020.05.31.19,884,292,193,367,3281,3205,0,8273,2267,5578,7086,2826
2020.05.31.20,926,293,197,417,3732,526,0,6166,2268,5991,8049,3666
2020.05.31.21,927,309,197,417,3560,0,0,5401,2267,6109,9078,3738
2020.05.31.22,929,301,196,418,3508,0,0,5329,2268,5887,9135,3490
2020.05.31.23,930,289,196,377,3199,0,0,5012,2269,5110,8826,3351
2020.05.31.24,932,287,196,363,2418,0,0,4209,2268,4770,8830,3108
