Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2018.08.23.01,952,298,236,342,3223,0,0,5051,2242,7870,8869,2701
2018.08.23.02,953,297,237,333,3199,0,0,5019,2241,6992,8466,2683
2018.08.23.03,953,302,237,335,3105,0,0,3979,2243,6766,9040,2637
2018.08.23.04,951,300,237,335,2696,0,0,4519,2246,5743,9144,2610
2018.08.23.05,941,292,237,336,2400,0,0,4206,2247,6165,9269,2680
2018.08.23.06,945,288,237,334,2433,0,0,4237,2245,6346,9993,2841
2018.08.23.07,946,291,234,338,2143,199,0,4151,2246,7586,10568,2825
2018.08.23.08,945,294,232,322,1792,2871,120,6576,2248,7052,9881,2826
2018.08.23.09,924,295,234,359,1546,6666,456,10480,2247,5736,8444,2569
2018.08.23.10,937,307,234,327,1219,8599,614,12237,2246,5541,7802,2516
2018.08.23.11,914,320,228,321,1154,9390,646,12973,2245,6271,7142,2426
2018.08.23.12,857,317,230,325,1265,9742,650,13386,2242,6597,6824,2633
2018.08.23.13,887,324,231,365,1438,9728,674,13647,2240,7439,6574,2607
2018.08.23.14,904,329,232,430,1712,9690,675,13972,2237,7898,6924,2685
2018.08.23.15,891,337,233,446,2052,9597,679,14235,2236,9297,6712,2681
2018.08.23.16,887,341,233,451,2433,9172,678,14195,2234,10296,7061,2680
2018.08.23.17,887,340,233,559,2894,8264,651,13828,2235,10638,7886,2889
2018.08.23.18,888,341,236,559,3380,6265,572,12241,2240,11873,8316,3058
2018.08.23.19,908,341,240,588,3711,2380,256,8424,2241,12340,10317,3832
2018.08.23.20,918,341,239,595,3860,115,0,6068,2242,12678,11146,4155
2018.08.23.21,929,333,237,563,3763,0,0,5825,2244,12599,11087,3948
2018.08.23.22,930,313,237,524,3915,0,0,5919,2245,11078,10865,3528
2018.08.23.23,934,310,237,515,4045,0,0,6041,2245,9532,9548,3270
2018.08.23.24,937,311,237,437,3885,0,0,5807,2242,7790,9265,2895
