Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.03.14.01,948,261,201,142,2829,0,0,4352,2251,8723,5691,493
2020.03.14.02,948,259,210,142,2361,0,0,3892,2252,8319,5683,463
2020.03.14.03,948,261,213,142,1979,0,0,3513,2252,8050,5850,426
2020.03.14.04,947,278,213,143,1789,0,0,3340,2252,7884,5938,383
2020.03.14.05,946,288,214,143,1701,0,0,3261,2252,7794,6151,393
2020.03.14.06,950,288,214,145,1831,0,0,3396,2251,8222,5888,470
2020.03.14.07,950,306,214,152,1547,0,0,3139,2250,8150,6223,1056
2020.03.14.08,952,307,213,152,1424,792,0,3841,2250,8842,5332,1073
2020.03.14.09,953,307,212,148,1322,3605,0,6546,2248,8147,3991,922
2020.03.14.10,953,284,212,111,1629,5755,12,8956,2248,7091,2903,646
2020.03.14.11,951,284,212,110,1906,6995,103,10561,2249,6352,2464,371
2020.03.14.12,950,282,212,110,1983,6952,141,10629,2249,5950,2651,328
2020.03.14.13,948,285,211,110,2186,7146,174,11061,2250,5630,2465,343
2020.03.14.14,947,287,212,110,2520,7039,219,11332,2250,5710,1952,356
2020.03.14.15,945,285,212,109,2486,6821,296,11155,2250,6102,1925,408
2020.03.14.16,946,293,212,109,2303,5915,339,10117,2250,6603,2687,448
2020.03.14.17,948,308,213,145,1971,4916,218,8718,2249,7361,3155,793
2020.03.14.18,948,305,214,158,1707,2420,108,5860,2249,9104,4151,1520
2020.03.14.19,949,306,213,168,1446,510,0,3592,2249,11458,4672,2047
2020.03.14.20,951,307,211,168,1219,0,0,2852,2249,12942,5031,2345
2020.03.14.21,953,307,210,205,1365,0,0,3035,2249,12536,5205,2064
2020.03.14.22,954,306,209,169,1349,0,0,2984,2249,12044,5144,1833
2020.03.14.23,952,292,211,152,1496,0,0,3099,2248,11232,5009,1407
2020.03.14.24,952,284,212,152,1744,0,0,3340,2249,9866,5194,1003
