Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.04.12.01,971,261,225,440,4181,0,0,6078,2286,3525,5036,3913
2019.04.12.02,971,262,225,443,4207,0,0,6108,2285,3291,4445,3881
2019.04.12.03,973,265,226,442,3935,0,0,4868,2286,4128,4539,3811
2019.04.12.04,973,269,226,441,3797,0,0,5706,2287,2863,4741,3860
2019.04.12.05,974,270,226,443,3689,0,0,5602,2285,3244,4878,3947
2019.04.12.06,974,267,224,444,3277,0,0,5186,2286,3670,6179,4038
2019.04.12.07,973,264,222,441,2656,98,0,4654,2287,5460,6685,4181
2019.04.12.08,974,265,220,439,2179,2460,0,6537,2286,5433,5949,3992
2019.04.12.09,973,268,210,442,2049,6477,119,10538,2287,4271,3153,3466
2019.04.12.10,972,263,198,443,1757,8523,274,12430,2288,3077,2020,3323
2019.04.12.11,971,258,194,447,1592,9255,251,12968,2286,2843,1282,3128
2019.04.12.12,969,248,195,445,1268,9779,155,13059,2286,2833,878,2997
2019.04.12.13,968,249,192,448,1217,9782,131,12987,2287,2816,620,2978
2019.04.12.14,968,251,194,450,1304,9691,131,12989,2286,3010,433,2943
2019.04.12.15,967,255,193,447,1536,9799,135,13332,2286,3089,-235,3239
2019.04.12.16,966,267,193,448,2001,9460,139,13474,2287,3276,-374,3269
2019.04.12.17,965,277,194,460,2043,8859,153,12951,2286,3722,63,3375
2019.04.12.18,964,276,194,475,2393,7077,226,11605,2286,4077,1957,3497
2019.04.12.19,964,277,197,573,2847,2428,113,7399,2287,5585,5312,3880
2019.04.12.20,965,275,200,572,3067,74,0,5153,2287,7676,6761,3850
2019.04.12.21,965,275,200,574,3003,0,0,5017,2286,7713,7207,3939
2019.04.12.22,966,274,190,570,2959,0,0,4959,2287,6797,7293,3949
2019.04.12.23,968,273,198,523,2408,0,0,4370,2286,6272,6906,3934
2019.04.12.24,970,271,200,463,1583,0,0,3487,2286,6163,6321,3875
