Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2020.01.13.01,688,328,221,152,3490,0,0,4846,2278,5397,6217,1313
2020.01.13.02,690,332,221,158,3266,0,0,4633,2279,5356,6042,1213
2020.01.13.03,690,329,221,165,3332,0,0,4703,2278,5744,5859,878
2020.01.13.04,690,328,221,164,3295,0,0,4664,2278,5852,5864,884
2020.01.13.05,691,333,221,168,3477,0,0,4854,2278,6334,5794,1093
2020.01.13.06,691,335,220,168,3690,0,0,5070,2276,6551,6245,1712
2020.01.13.07,691,351,219,221,3770,0,0,5227,2276,8161,6637,2353
2020.01.13.08,691,350,214,265,3217,1349,0,6087,2276,8912,6307,2557
2020.01.13.09,691,352,218,236,2868,5616,77,10058,2276,7337,4143,1759
2020.01.13.10,689,333,217,221,2534,7736,227,11957,2277,6164,2512,1305
2020.01.13.11,686,334,218,223,2141,8039,245,11887,2278,5089,2768,1173
2020.01.13.12,684,336,218,211,2364,7620,251,11683,2278,4699,2706,1131
2020.01.13.13,683,338,218,219,2998,6951,251,11657,2277,5283,2519,790
2020.01.13.14,683,338,218,218,3281,7435,246,12419,2276,5407,1988,709
2020.01.13.15,682,338,219,209,3258,7478,222,12406,2276,5746,1513,1031
2020.01.13.16,683,344,219,217,2907,5132,157,9658,2276,7065,3078,1523
2020.01.13.17,685,353,219,235,2888,1036,20,5436,2276,9780,5066,2661
2020.01.13.18,686,351,219,311,2677,0,0,4240,2275,11707,6248,3314
2020.01.13.19,686,352,219,328,2654,0,0,4235,2275,11289,6825,3698
2020.01.13.20,685,353,220,286,2734,0,0,4274,2276,11074,7036,3217
2020.01.13.21,684,353,220,258,3015,0,0,4526,2275,10606,6765,2892
2020.01.13.22,684,349,218,223,3222,0,0,4692,2275,9850,6715,2194
2020.01.13.23,684,333,217,173,3199,0,0,4601,2275,8990,6226,1799
2020.01.13.24,684,323,217,169,2959,0,0,4348,2276,8161,5963,1345
