Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.12.31.01,553,301,223,241,1230,0,0,2515,2273,8267,6745,2030
2019.12.31.02,553,300,219,231,1212,0,0,2481,2273,7761,6715,1711
2019.12.31.03,554,295,220,187,1194,0,0,2415,2272,7448,6597,1708
2019.12.31.04,555,293,222,187,1176,0,0,2395,2272,7284,6632,1718
2019.12.31.05,556,293,222,224,1158,0,0,2416,2271,7197,6767,2023
2019.12.31.06,556,302,220,227,1140,0,0,2406,2272,7405,7536,2190
2019.12.31.07,555,312,219,235,1121,0,0,2408,2271,7240,8794,2714
2019.12.31.08,558,318,219,240,1103,985,0,3424,2271,7368,8475,2593
2019.12.31.09,559,323,219,221,1085,4520,136,7063,2272,6539,5733,2245
2019.12.31.10,557,322,218,220,1067,6740,393,9517,2272,5674,3762,1840
2019.12.31.11,555,323,218,217,1049,7286,428,10074,2272,5306,3549,1277
2019.12.31.12,555,325,217,174,1031,7241,421,9963,2272,5334,3521,929
2019.12.31.13,554,326,215,179,1012,7526,417,10230,2273,5178,3223,754
2019.12.31.14,589,328,217,175,994,7708,398,10409,2273,5110,3136,823
2019.12.31.15,644,328,218,200,976,6923,356,9645,2273,5165,3565,1334
2019.12.31.16,648,329,218,245,958,4070,234,6702,2273,6390,5477,1812
2019.12.31.17,649,329,218,289,940,533,6,2964,2272,7576,8681,2864
2019.12.31.18,649,330,219,327,922,0,0,2412,2272,8492,10315,3453
2019.12.31.19,650,330,219,291,904,0,0,2362,2272,7815,10899,3483
2019.12.31.20,651,328,221,286,885,0,0,2338,2272,7417,10681,3245
2019.12.31.21,651,323,220,287,867,0,0,2316,2272,7234,10031,3171
2019.12.31.22,651,322,220,277,849,0,0,2287,2272,7110,9623,2874
2019.12.31.23,651,305,220,230,831,0,0,2203,2275,7325,9227,2262
2019.12.31.24,651,302,221,224,813,0,0,2177,2275,7529,8924,1549
